transaction_id,account_id,transaction_type,amount,transaction_date
TRX0000051,ACC0000984,Transfer,46651.83,2023-12-16
TRX0000052,ACC0001152,Transfer,12007.15,2023-03-04
TRX0000053,ACC0002311,Withdrawal,17020.86,2023-07-30
TRX0000054,ACC0002795,Withdrawal,3913.34,2018-07-23
TRX0000055,ACC0001222,Deposit,28667.09,2021-04-17
TRX0000056,ACC0002069,Deposit,1159.79,2023-09-01
TRX0000057,ACC0002388,Payment,48997.53,2020-11-14
TRX0000058,ACC0001880,Deposit,41843.2,2018-05-11
TRX0000059,ACC0001976,Withdrawal,18002.66,2019-03-16
TRX0000060,ACC0000434,Payment,25510.73,2018-03-12
TRX0000061,ACC0000132,Transfer,39032.98,2022-09-10
TRX0000062,ACC0002131,Withdrawal,19803.28,2023-12-18
TRX0000063,ACC0000188,Transfer,36691.47,2024-04-04
TRX0000064,ACC0002344,Payment,33456.52,2018-06-18
TRX0000065,ACC0000806,Payment,33636.7,2021-10-15
TRX0000066,ACC0000102,Deposit,12792.7,2024-11-07
TRX0000067,ACC0000524,Transfer,23887.96,2020-04-09
TRX0000068,ACC0001883,Transfer,37466.61,2021-03-07
TRX0000069,ACC0000441,Deposit,30946.78,2018-05-01
TRX0000070,ACC0002764,Withdrawal,18372.99,2021-01-17
TRX0000071,ACC0001860,Transfer,32468.44,2020-03-15
TRX0000072,ACC0002294,Transfer,27096.79,2019-06-06
TRX0000073,ACC0001172,Withdrawal,2713.11,2023-03-11
TRX0000074,ACC0001903,Transfer,41174.76,2021-11-11
TRX0000075,ACC0000483,Deposit,38561.86,2021-02-01
TRX0000076,ACC0000703,Withdrawal,12231.56,2023-06-07
TRX0000077,ACC0002072,Payment,49213.72,2023-06-26
TRX0000078,ACC0002545,Withdrawal,43279.83,2018-02-01
TRX0000079,ACC0000814,Deposit,30138.3,2020-06-26
TRX0000080,ACC0001794,Deposit,47580.46,2019-12-04
TRX0000081,ACC0002979,Payment,23050.13,2021-09-14
TRX0000082,ACC0002962,Withdrawal,8089.02,2019-08-27
TRX0000083,ACC0001962,Deposit,37090.47,2024-11-16
TRX0000084,ACC0000225,Deposit,33159.55,2023-08-15
TRX0000085,ACC0000170,Withdrawal,28752.81,2018-04-25
TRX0000086,ACC0002404,Withdrawal,41012.55,2019-10-30
TRX0000087,ACC0001411,Payment,15109.22,2023-08-15
TRX0000088,ACC0001549,Deposit,35110.76,2024-12-12
TRX0000089,ACC0001014,Withdrawal,40876.26,2019-05-19
TRX0000090,ACC0002082,Transfer,30966.58,2024-01-07
TRX0000091,ACC0002453,Transfer,36016.05,2018-05-31
TRX0000092,ACC0002110,Deposit,21391.52,2018-05-09
TRX0000093,ACC0002050,Transfer,9370.77,2024-09-11
TRX0000094,ACC0002050,Withdrawal,48834.43,2019-02-14
TRX0000095,ACC0002944,Deposit,65.26,2023-12-31
TRX0000096,ACC0000334,Transfer,41000.51,2022-02-20
TRX0000097,ACC0001938,Deposit,23674.35,2021-08-28
TRX0000098,ACC0002390,Withdrawal,42037.46,2019-08-27
TRX0000099,ACC0002079,Deposit,15992.74,2019-12-24
TRX0000100,ACC0002521,Deposit,13010.37,2021-04-26
TRX0000101,ACC0001299,Payment,3130.7,2020-07-30
TRX0000102,ACC0001869,Withdrawal,48322.58,2022-06-14
TRX0000103,ACC0000456,Withdrawal,9726.37,2020-08-21
TRX0000104,ACC0002002,Payment,815.06,2024-01-25
TRX0000105,ACC0002006,Withdrawal,16184.87,2023-01-24
TRX0000106,ACC0001452,Deposit,37195.75,2019-01-14
TRX0000107,ACC0000105,Deposit,19596.36,2021-10-26
TRX0000108,ACC0000580,Deposit,22747.42,2018-01-21
TRX0000109,ACC0002073,Transfer,9839.5,2022-08-02
TRX0000110,ACC0001368,Payment,11609.99,2019-07-11
TRX0000111,ACC0000821,Transfer,36482.39,2018-12-11
TRX0000112,ACC0001690,Deposit,8643.59,2024-01-30
TRX0000113,ACC0000666,Transfer,22240.18,2022-05-22
TRX0000114,ACC0000612,Transfer,33516.31,2021-02-24
TRX0000115,ACC0001083,Payment,21321.54,2024-12-23
TRX0000116,ACC0002707,Deposit,30237.69,2020-04-15
TRX0000117,ACC0001188,Transfer,32597.07,2023-11-24
TRX0000118,ACC0002714,Payment,15205.44,2020-10-22
TRX0000119,ACC0001111,Transfer,21601.28,2022-12-24
TRX0000120,ACC0002043,Transfer,24649.84,2020-12-02
TRX0000121,ACC0000967,Deposit,35416.29,2018-06-14
TRX0000122,ACC0000295,Transfer,14301.73,2023-04-12
TRX0000123,ACC0002829,Deposit,30905.0,2024-01-22
TRX0000124,ACC0002961,Deposit,45839.35,2024-05-20
TRX0000125,ACC0000714,Payment,8935.58,2023-05-08
TRX0000126,ACC0002816,Transfer,45418.14,2021-02-16
TRX0000127,ACC0001902,Transfer,19416.63,2023-07-02
TRX0000128,ACC0000226,Payment,41883.33,2023-03-30
TRX0000129,ACC0000551,Withdrawal,26200.17,2023-03-25
TRX0000130,ACC0002203,Withdrawal,11084.59,2020-08-15
TRX0000131,ACC0001778,Payment,14374.65,2024-12-12
TRX0000132,ACC0002407,Transfer,31272.61,2020-12-21
TRX0000133,ACC0000258,Deposit,25221.76,2018-02-06
TRX0000134,ACC0002990,Transfer,36170.4,2022-01-02
TRX0000135,ACC0002431,Deposit,48896.17,2023-09-13
TRX0000136,ACC0000173,Deposit,2037.02,2018-03-27
TRX0000137,ACC0000356,Withdrawal,32958.25,2022-11-30
TRX0000138,ACC0001317,Deposit,11895.62,2022-11-17
TRX0000139,ACC0002619,Deposit,29377.67,2020-07-28
TRX0000140,ACC0001913,Deposit,40363.79,2020-05-14
TRX0000141,ACC0002451,Transfer,41904.4,2019-11-08
TRX0000142,ACC0000416,Withdrawal,16023.26,2022-10-20
TRX0000143,ACC0000402,Payment,3756.75,2022-10-26
TRX0000144,ACC0000878,Transfer,4439.38,2019-12-22
TRX0000145,ACC0000617,Payment,30174.99,2019-08-23
TRX0000146,ACC0001236,Payment,18642.31,2019-03-19
TRX0000147,ACC0001636,Withdrawal,10438.11,2024-10-19
TRX0000148,ACC0002115,Payment,47712.07,2020-11-06
TRX0000149,ACC0000413,Withdrawal,10833.14,2021-08-16
TRX0000150,ACC0000130,Withdrawal,8824.82,2021-12-15
TRX0000151,ACC0002645,Payment,44219.71,2021-11-25
TRX0000152,ACC0002243,Withdrawal,32632.64,2023-03-15
TRX0000153,ACC0001901,Payment,11752.76,2019-12-19
TRX0000154,ACC0000501,Payment,17811.64,2024-02-29
TRX0000155,ACC0002789,Withdrawal,24375.63,2023-12-13
TRX0000156,ACC0002854,Payment,48267.21,2024-04-19
TRX0000157,ACC0000724,Transfer,1652.74,2022-01-08
TRX0000158,ACC0000352,Deposit,28064.03,2018-12-20
TRX0000159,ACC0002759,Payment,10493.24,2019-11-25
TRX0000160,ACC0000517,Deposit,48229.64,2021-09-15
TRX0000161,ACC0001573,Deposit,19061.41,2019-12-07
TRX0000162,ACC0002984,Withdrawal,30890.3,2024-05-11
TRX0000163,ACC0002832,Payment,43863.27,2018-08-16
TRX0000164,ACC0000182,Transfer,38278.24,2024-09-18
TRX0000165,ACC0000265,Deposit,2072.64,2023-07-04
TRX0000166,ACC0000819,Transfer,34320.3,2020-09-07
TRX0000167,ACC0000109,Deposit,43132.09,2020-01-25
TRX0000168,ACC0002707,Payment,39236.3,2019-06-05
TRX0000169,ACC0000652,Deposit,40092.5,2023-09-28
TRX0000170,ACC0001345,Transfer,49990.19,2024-02-02
TRX0000171,ACC0001796,Transfer,14549.84,2018-02-13
TRX0000172,ACC0001517,Deposit,37790.52,2023-10-09
TRX0000173,ACC0001472,Deposit,34466.11,2018-11-12
TRX0000174,ACC0001543,Transfer,8516.88,2019-03-27
TRX0000175,ACC0002454,Withdrawal,8069.65,2018-05-17
TRX0000176,ACC0000361,Payment,10858.69,2021-11-08
TRX0000177,ACC0001967,Transfer,38368.08,2020-03-01
TRX0000178,ACC0002917,Withdrawal,23319.98,2021-12-09
TRX0000179,ACC0002518,Withdrawal,35980.25,2023-07-23
TRX0000180,ACC0002777,Deposit,29573.16,2019-09-07
TRX0000181,ACC0001475,Transfer,32645.54,2021-05-14
TRX0000182,ACC0001036,Withdrawal,6472.61,2019-08-09
TRX0000183,ACC0002773,Payment,16669.3,2022-03-05
TRX0000184,ACC0000294,Transfer,45040.04,2020-09-27
TRX0000185,ACC0000339,Deposit,14162.41,2024-11-23
TRX0000186,ACC0002064,Withdrawal,16624.11,2023-02-25
TRX0000187,ACC0000556,Withdrawal,26997.2,2021-10-21
TRX0000188,ACC0001480,Withdrawal,32662.71,2021-12-25
TRX0000189,ACC0000975,Payment,9413.09,2020-01-05
TRX0000190,ACC0001309,Payment,10684.67,2020-08-18
TRX0000191,ACC0000507,Deposit,6925.28,2019-08-30
TRX0000192,ACC0000763,Deposit,14687.31,2024-03-15
TRX0000193,ACC0002101,Transfer,34858.53,2019-04-27
TRX0000194,ACC0000598,Payment,9769.41,2018-09-06
TRX0000195,ACC0002193,Withdrawal,15335.32,2022-01-29
TRX0000196,ACC0001149,Payment,35512.74,2022-10-13
TRX0000197,ACC0002061,Deposit,37606.89,2024-02-19
TRX0000198,ACC0001367,Withdrawal,12625.11,2019-02-03
TRX0000199,ACC0002564,Deposit,3540.58,2021-02-08
TRX0000200,ACC0000910,Withdrawal,16407.19,2021-04-26
TRX0000201,ACC0000612,Withdrawal,49394.31,2023-11-06
TRX0000202,ACC0000255,Payment,42817.75,2021-07-18
TRX0000203,ACC0001999,Deposit,14404.65,2018-03-08
TRX0000204,ACC0002257,Payment,4789.5,2020-10-29
TRX0000205,ACC0002708,Deposit,45825.7,2021-09-11
TRX0000206,ACC0002478,Payment,409.52,2022-06-23
TRX0000207,ACC0000751,Withdrawal,5901.63,2022-03-12
TRX0000208,ACC0002065,Withdrawal,37768.76,2018-03-22
TRX0000209,ACC0000250,Transfer,27795.85,2018-05-29
TRX0000210,ACC0002029,Deposit,44744.48,2024-08-25
TRX0000211,ACC0002331,Transfer,29033.95,2020-04-06
TRX0000212,ACC0001854,Transfer,30488.84,2023-02-06
TRX0000213,ACC0002314,Transfer,15630.69,2018-08-26
TRX0000214,ACC0000678,Transfer,15129.79,2021-09-23
TRX0000215,ACC0001648,Transfer,40791.63,2024-04-17
TRX0000216,ACC0001626,Withdrawal,3578.76,2018-01-31
TRX0000217,ACC0001080,Deposit,35922.38,2020-06-12
TRX0000218,ACC0001087,Deposit,49492.57,2024-07-02
TRX0000219,ACC0001084,Deposit,10911.13,2020-07-01
TRX0000220,ACC0000480,Payment,4197.94,2023-07-06
TRX0000221,ACC0000281,Payment,20367.81,2024-10-07
TRX0000222,ACC0000746,Payment,19501.62,2020-03-11
TRX0000223,ACC0002248,Transfer,27099.4,2019-04-12
TRX0000224,ACC0002635,Payment,12903.66,2021-09-16
TRX0000225,ACC0000143,Deposit,49351.68,2024-10-08
TRX0000226,ACC0000634,Transfer,17579.25,2023-03-22
TRX0000227,ACC0002030,Transfer,48043.59,2020-09-13
TRX0000228,ACC0002182,Transfer,26729.16,2021-07-06
TRX0000229,ACC0001680,Withdrawal,34772.45,2021-01-07
TRX0000230,ACC0002847,Transfer,22785.22,2018-07-02
TRX0000231,ACC0000864,Withdrawal,20870.4,2019-11-12
TRX0000232,ACC0002707,Transfer,14643.09,2020-06-20
TRX0000233,ACC0001704,Transfer,6918.95,2020-12-03
TRX0000234,ACC0001808,Payment,27305.68,2023-03-05
TRX0000235,ACC0000197,Transfer,48882.22,2022-03-02
TRX0000236,ACC0000038,Withdrawal,20801.18,2021-07-09
TRX0000237,ACC0001135,Deposit,15751.46,2021-03-27
TRX0000238,ACC0001900,Withdrawal,34189.8,2018-12-14
TRX0000239,ACC0002490,Deposit,40288.48,2022-06-29
TRX0000240,ACC0002881,Withdrawal,21603.92,2024-11-17
TRX0000241,ACC0002472,Deposit,48856.31,2019-03-23
TRX0000242,ACC0002981,Transfer,35968.06,2022-10-31
TRX0000243,ACC0002989,Deposit,48619.28,2024-06-15
TRX0000244,ACC0000375,Payment,32874.08,2020-11-11
TRX0000245,ACC0001362,Deposit,26620.64,2020-06-24
TRX0000246,ACC0002672,Deposit,11776.45,2023-07-04
TRX0000247,ACC0000656,Withdrawal,25332.66,2022-07-22
TRX0000248,ACC0001340,Payment,15739.86,2019-01-18
TRX0000249,ACC0001233,Payment,37328.57,2018-12-13
TRX0000250,ACC0000285,Deposit,22389.14,2020-03-16
TRX0000251,ACC0001890,Deposit,18969.58,2022-06-19
TRX0000252,ACC0001099,Payment,40252.51,2023-11-03
TRX0000253,ACC0001292,Transfer,39594.36,2024-01-29
TRX0000254,ACC0002022,Withdrawal,44406.57,2018-06-19
TRX0000255,ACC0000763,Payment,26425.32,2024-11-11
TRX0000256,ACC0002007,Deposit,37641.99,2021-01-11
TRX0000257,ACC0001827,Payment,42010.04,2022-05-26
TRX0000258,ACC0001836,Withdrawal,29518.31,2024-12-06
TRX0000259,ACC0002164,Deposit,42552.41,2018-08-19
TRX0000260,ACC0001367,Payment,46247.43,2024-11-12
TRX0000261,ACC0002664,Deposit,6019.29,2018-06-08
TRX0000262,ACC0000933,Transfer,36211.36,2024-06-13
TRX0000263,ACC0002441,Withdrawal,20348.36,2024-06-09
TRX0000264,ACC0002920,Deposit,5487.19,2021-08-24
TRX0000265,ACC0002528,Deposit,22568.83,2020-09-17
TRX0000266,ACC0000203,Payment,30146.5,2019-12-05
TRX0000267,ACC0000324,Deposit,25870.89,2023-01-07
TRX0000268,ACC0001383,Payment,9101.79,2019-11-13
TRX0000269,ACC0000628,Withdrawal,12687.91,2022-09-06
TRX0000270,ACC0002827,Deposit,37548.18,2018-04-11
TRX0000271,ACC0001829,Withdrawal,6232.12,2019-06-06
TRX0000272,ACC0002446,Deposit,981.58,2018-06-09
TRX0000273,ACC0002103,Transfer,11193.3,2018-01-24
TRX0000274,ACC0001734,Transfer,2476.2,2020-12-15
TRX0000275,ACC0001226,Payment,27373.25,2021-08-05
TRX0000276,ACC0001079,Transfer,32886.86,2020-04-05
TRX0000277,ACC0000185,Deposit,27707.2,2018-07-19
TRX0000278,ACC0002217,Deposit,46208.55,2022-09-19
TRX0000279,ACC0002919,Transfer,27354.99,2023-05-04
TRX0000280,ACC0001832,Payment,26859.21,2023-01-13
TRX0000281,ACC0001722,Deposit,3744.79,2019-10-02
TRX0000282,ACC0001146,Deposit,26411.29,2020-04-20
TRX0000283,ACC0001069,Withdrawal,29139.8,2024-01-05
TRX0000284,ACC0000863,Deposit,46737.0,2024-12-29
TRX0000285,ACC0000496,Deposit,18555.61,2018-10-30
TRX0000286,ACC0002961,Withdrawal,30677.16,2020-12-20
TRX0000287,ACC0001946,Transfer,48589.44,2021-11-10
TRX0000288,ACC0002552,Payment,43992.46,2024-03-22
TRX0000289,ACC0001142,Withdrawal,5775.95,2018-06-28
TRX0000290,ACC0000370,Payment,21839.99,2020-01-27
TRX0000291,ACC0002996,Transfer,38031.31,2021-01-26
TRX0000292,ACC0000367,Transfer,30860.7,2022-01-04
TRX0000293,ACC0000867,Deposit,25627.38,2023-12-08
TRX0000294,ACC0000457,Payment,22019.0,2023-01-24
TRX0000295,ACC0001297,Withdrawal,10160.81,2018-10-21
TRX0000296,ACC0002858,Transfer,27232.6,2019-11-14
TRX0000297,ACC0001524,Payment,41339.71,2024-11-05
TRX0000298,ACC0001851,Deposit,10670.16,2018-02-22
TRX0000299,ACC0002407,Transfer,34255.12,2024-09-03
TRX0000300,ACC0001648,Withdrawal,40079.17,2019-05-09
TRX0000301,ACC0000760,Transfer,12139.12,2023-07-01
TRX0000302,ACC0000015,Deposit,43718.79,2024-02-06
TRX0000303,ACC0002608,Transfer,9134.18,2022-04-07
TRX0000304,ACC0001266,Payment,8450.87,2024-12-23
TRX0000305,ACC0000299,Transfer,31577.73,2024-02-16
TRX0000306,ACC0000705,Deposit,49251.65,2021-06-09
TRX0000307,ACC0001328,Deposit,14307.38,2024-09-16
TRX0000308,ACC0002705,Withdrawal,48439.63,2020-12-17
TRX0000309,ACC0002279,Deposit,4528.22,2023-03-26
TRX0000310,ACC0002647,Deposit,32362.89,2020-01-29
TRX0000311,ACC0001930,Deposit,28379.38,2019-08-06
TRX0000312,ACC0002342,Payment,2436.29,2019-04-16
TRX0000313,ACC0000789,Transfer,43910.89,2024-10-15
TRX0000314,ACC0000409,Payment,44488.43,2021-06-10
TRX0000315,ACC0002968,Deposit,3135.31,2023-05-26
TRX0000316,ACC0001414,Deposit,12359.42,2018-01-31
TRX0000317,ACC0001237,Deposit,31995.33,2019-08-04
TRX0000318,ACC0002050,Transfer,39216.24,2019-01-20
TRX0000319,ACC0000001,Withdrawal,2791.71,2024-02-25
TRX0000320,ACC0000032,Transfer,16342.86,2022-08-03
TRX0000321,ACC0001406,Transfer,6766.65,2024-01-18
TRX0000322,ACC0000356,Payment,38196.93,2020-07-22
TRX0000323,ACC0000285,Deposit,42402.82,2021-06-09
TRX0000324,ACC0000835,Deposit,2659.99,2024-12-22
TRX0000325,ACC0001164,Transfer,36937.09,2024-10-24
TRX0000326,ACC0000473,Deposit,31775.35,2020-03-17
TRX0000327,ACC0000650,Deposit,49272.27,2024-04-25
TRX0000328,ACC0000328,Transfer,30827.6,2023-05-14
TRX0000329,ACC0002010,Transfer,42864.2,2020-09-17
TRX0000330,ACC0001212,Payment,39420.23,2021-08-21
TRX0000331,ACC0001570,Payment,2293.62,2021-05-25
TRX0000332,ACC0000063,Payment,7480.47,2018-03-20
TRX0000333,ACC0000162,Withdrawal,38426.65,2019-01-11
TRX0000334,ACC0002556,Payment,1337.78,2022-12-19
TRX0000335,ACC0002656,Deposit,17558.46,2023-12-29
TRX0000336,ACC0001631,Transfer,32820.76,2023-11-12
TRX0000337,ACC0002989,Deposit,35589.83,2019-02-09
TRX0000338,ACC0002233,Transfer,49822.73,2021-08-08
TRX0000339,ACC0001395,Withdrawal,38083.43,2023-07-10
TRX0000340,ACC0001659,Transfer,6502.18,2020-07-31
TRX0000341,ACC0002264,Payment,36914.09,2019-12-25
TRX0000342,ACC0001918,Transfer,380.27,2018-01-26
TRX0000343,ACC0002465,Payment,41720.37,2024-04-01
TRX0000344,ACC0001219,Deposit,38313.62,2019-02-01
TRX0000345,ACC0002302,Deposit,11532.95,2018-07-20
TRX0000346,ACC0000228,Withdrawal,28999.67,2023-11-07
TRX0000347,ACC0001752,Transfer,10948.72,2021-07-09
TRX0000348,ACC0002629,Deposit,7731.72,2021-07-21
TRX0000349,ACC0001648,Deposit,552.3,2019-06-05
TRX0000350,ACC0000637,Withdrawal,47328.36,2023-07-26
TRX0000351,ACC0000379,Payment,19639.18,2021-05-09
TRX0000352,ACC0002072,Deposit,34549.22,2023-10-05
TRX0000353,ACC0001592,Withdrawal,19300.96,2019-04-09
TRX0000354,ACC0001108,Transfer,16392.63,2022-05-03
TRX0000355,ACC0000089,Transfer,47289.01,2021-01-03
TRX0000356,ACC0001368,Deposit,38597.49,2022-12-27
TRX0000357,ACC0000907,Payment,29324.68,2019-09-06
TRX0000358,ACC0001444,Transfer,28656.95,2023-12-28
TRX0000359,ACC0001365,Transfer,9902.0,2023-03-05
TRX0000360,ACC0001940,Deposit,41756.8,2022-02-02
TRX0000361,ACC0000850,Payment,49668.89,2020-04-19
TRX0000362,ACC0002371,Transfer,41363.01,2021-09-25
TRX0000363,ACC0001424,Transfer,49697.3,2022-08-23
TRX0000364,ACC0002681,Transfer,48916.51,2022-07-16
TRX0000365,ACC0000955,Payment,45442.19,2024-05-14
TRX0000366,ACC0001689,Transfer,35592.21,2021-05-08
TRX0000367,ACC0000339,Payment,47957.57,2023-01-06
TRX0000368,ACC0002811,Deposit,43340.31,2020-01-28
TRX0000369,ACC0000295,Payment,4600.15,2020-05-17
TRX0000370,ACC0001370,Transfer,29807.77,2022-12-08
TRX0000371,ACC0000847,Transfer,49756.37,2024-09-18
TRX0000372,ACC0001324,Payment,19393.83,2020-02-15
TRX0000373,ACC0002419,Withdrawal,14966.58,2024-04-06
TRX0000374,ACC0001932,Withdrawal,26153.5,2024-07-03
TRX0000375,ACC0002421,Payment,22289.35,2019-05-01
TRX0000376,ACC0000795,Transfer,1842.46,2024-07-04
TRX0000377,ACC0001210,Payment,25717.14,2024-09-08
TRX0000378,ACC0002348,Deposit,17674.38,2019-11-05
TRX0000379,ACC0002936,Transfer,42116.48,2019-09-11
TRX0000380,ACC0002850,Withdrawal,28079.04,2024-01-02
TRX0000381,ACC0000414,Deposit,5961.32,2020-03-03
TRX0000382,ACC0002740,Deposit,20037.57,2024-05-03
TRX0000383,ACC0000793,Withdrawal,7381.04,2020-07-03
TRX0000384,ACC0002156,Transfer,32111.71,2018-05-24
TRX0000385,ACC0001937,Deposit,4616.0,2022-04-08
TRX0000386,ACC0001511,Withdrawal,562.14,2019-05-24
TRX0000387,ACC0001711,Deposit,15266.44,2019-12-06
TRX0000388,ACC0000262,Transfer,19908.58,2021-11-04
TRX0000389,ACC0000844,Withdrawal,43748.3,2019-05-14
TRX0000390,ACC0000574,Payment,2474.8,2023-04-06
TRX0000391,ACC0001825,Deposit,24858.0,2023-06-13
TRX0000392,ACC0000440,Payment,6384.09,2022-09-23
TRX0000393,ACC0002254,Payment,9583.72,2022-04-19
TRX0000394,ACC0002265,Withdrawal,24317.78,2019-07-30
TRX0000395,ACC0002600,Transfer,28029.35,2020-02-28
TRX0000396,ACC0000120,Deposit,5813.47,2019-09-27
TRX0000397,ACC0001023,Payment,11633.52,2022-05-29
TRX0000398,ACC0001754,Transfer,29939.81,2020-12-06
TRX0000399,ACC0000481,Payment,33169.87,2023-08-09
TRX0000400,ACC0001777,Payment,43512.64,2021-08-08
TRX0000401,ACC0000142,Payment,9760.62,2018-07-02
TRX0000402,ACC0002771,Transfer,8101.43,2022-07-09
TRX0000403,ACC0002537,Deposit,30119.46,2019-02-07
TRX0000404,ACC0000721,Transfer,31220.34,2019-08-18
TRX0000405,ACC0001786,Payment,7716.67,2018-04-19
TRX0000406,ACC0000226,Withdrawal,6412.38,2022-06-21
TRX0000407,ACC0001148,Deposit,39345.66,2019-02-28
TRX0000408,ACC0001306,Withdrawal,32815.57,2021-01-04
TRX0000409,ACC0000942,Deposit,30878.56,2023-03-07
TRX0000410,ACC0002103,Payment,33905.27,2018-06-05
TRX0000411,ACC0002881,Payment,24802.85,2024-05-29
TRX0000412,ACC0002637,Payment,20570.15,2019-10-31
TRX0000413,ACC0002146,Payment,36879.56,2022-10-17
TRX0000414,ACC0002620,Withdrawal,47009.58,2024-02-05
TRX0000415,ACC0002311,Transfer,48226.24,2023-04-16
TRX0000416,ACC0000515,Withdrawal,35509.66,2021-04-10
TRX0000417,ACC0000888,Payment,3974.95,2022-12-29
TRX0000418,ACC0002621,Payment,41482.27,2023-09-16
TRX0000419,ACC0002396,Withdrawal,29535.8,2020-01-02
TRX0000420,ACC0002506,Withdrawal,13973.88,2023-06-15
TRX0000421,ACC0000217,Withdrawal,35401.04,2021-04-03
TRX0000422,ACC0002473,Transfer,35486.1,2022-09-01
TRX0000423,ACC0002451,Transfer,19737.64,2024-04-22
TRX0000424,ACC0000033,Payment,32938.83,2020-05-13
TRX0000425,ACC0001698,Payment,10664.58,2023-07-18
TRX0000426,ACC0000981,Withdrawal,16498.07,2019-08-04
TRX0000427,ACC0002554,Transfer,15620.23,2018-05-04
TRX0000428,ACC0002927,Payment,34752.56,2019-01-21
TRX0000429,ACC0001267,Withdrawal,28060.22,2024-04-24
TRX0000430,ACC0001061,Payment,254.54,2022-07-24
TRX0000431,ACC0000138,Payment,4480.14,2022-07-07
TRX0000432,ACC0000025,Payment,26126.57,2018-04-23
TRX0000433,ACC0000815,Payment,1163.56,2023-07-01
TRX0000434,ACC0000122,Payment,14915.58,2024-03-01
TRX0000435,ACC0000114,Transfer,48909.42,2022-08-17
TRX0000436,ACC0001378,Deposit,8645.58,2021-03-10
TRX0000437,ACC0000501,Withdrawal,6174.44,2023-12-27
TRX0000438,ACC0001749,Withdrawal,40212.64,2019-01-30
TRX0000439,ACC0000718,Deposit,865.29,2018-04-04
TRX0000440,ACC0000895,Transfer,9904.43,2020-04-08
TRX0000441,ACC0001137,Deposit,32108.26,2018-10-21
TRX0000442,ACC0001595,Payment,19577.87,2024-06-11
TRX0000443,ACC0002247,Withdrawal,15132.03,2018-09-22
TRX0000444,ACC0001560,Payment,32096.91,2022-08-04
TRX0000445,ACC0002908,Payment,9025.17,2022-06-14
TRX0000446,ACC0002535,Transfer,6329.11,2024-08-06
TRX0000447,ACC0000195,Payment,23341.01,2023-11-05
